 ,Stitch's Great Escape!,"Monsters, Inc. Laugh Floor",Walt Disney's Enchanted Tiki Room,The Barnstormer,Under the Sea - Journey of The Little Mermaid,Seven Dwarfs Mine Train ,Astro Orbiter,Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,Dumbo the Flying Elephant,it's a small world,Jungle Cruise,Liberty Square Riverboat,Mad Tea Party,Mickey's PhilharMagic,Peter Pan's Flight,Pirates of the Caribbean,Space Mountain,Splash Mountain,Haunted Mansion,The Magic Carpets of Aladdin,The Many Adventures of Winnie the Pooh,Tomorrowland Speedway,Tomorrowland Transit Authority PeopleMover,Walt Disney's Carousel of Progress,Country Bear Jamboree,The Hall of Presidents
2017-05-15 03:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 03:30:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 03:50:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 04:00:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 04:10:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-15 04:20:00 +0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-16 00:10:00 +0000,0,20,0,15,20,90,30,35,25,0,15,15,45,0,5,20,55,35,50,90,25,15,25,30,10,5,0,0
2017-05-16 00:10:00 +0000,0,20,0,20,20,90,30,35,25,0,15,15,60,0,10,20,45,30,50,90,20,15,25,30,10,5,0,0
2017-05-17 01:10:00 +0000,0,0,0,5,5,20,20,5,5,0,10,10,5,0,5,5,30,5,5,5,5,5,5,5,0,0,0,0
2017-05-17 01:10:00 +0000,0,0,0,5,5,20,20,5,5,0,10,10,5,0,5,5,30,5,5,5,5,5,5,5,0,0,0,0
2017-05-17 01:10:00 +0000,0,0,0,5,5,10,10,5,5,0,10,10,5,0,5,5,25,5,5,5,5,5,5,10,0,0,0,0
2017-05-17 01:20:00 +0000,0,0,0,5,5,30,10,5,5,0,10,10,5,0,5,5,25,5,5,5,5,5,5,10,0,0,0,0
2017-05-17 01:20:00 +0000,0,0,0,5,10,20,70,5,5,0,10,10,5,0,5,5,20,5,5,5,5,5,5,10,0,0,0,0
2017-05-17 01:30:00 +0000,0,0,0,5,5,40,70,5,5,0,10,10,5,0,5,5,20,5,5,5,5,5,5,10,0,0,0,0
2017-05-17 01:30:00 +0000,0,0,0,5,5,20,70,10,10,0,10,10,5,0,5,5,50,5,25,10,5,5,5,10,0,0,0,0
2017-05-17 01:40:00 +0000,0,0,0,5,5,20,70,5,10,0,10,10,5,0,5,5,50,5,25,5,5,5,5,10,0,0,0,0
