Astro Orbiter,Big Thunder Mountain Railroad,479
Astro Orbiter,Buzz Lightyear's Space Ranger Spin,26
Astro Orbiter,Country Bear Jamboree,373
Astro Orbiter,Dumbo the Flying Elephant,212
Astro Orbiter,Haunted Mansion,357
Astro Orbiter,Jungle Cruise,368
Astro Orbiter,Liberty Square Riverboat,300
Astro Orbiter,Mad Tea Party,132
Astro Orbiter,Mickey's PhilharMagic,274
Astro Orbiter,"Monsters, Inc. Laugh Floor",59
Astro Orbiter,Peter Pan's Flight,322
Astro Orbiter,Pirates of the Caribbean,412
Astro Orbiter,Prince Charming Regal Carrousel,271
Astro Orbiter,Seven Dwarfs Mine Train,230
Astro Orbiter,Space Mountain,739
Astro Orbiter,Splash Mountain,480
Astro Orbiter,The Barnstormer,252
Astro Orbiter,The Hall of Presidents,271
Astro Orbiter,The Magic Carpets of Aladdin,331
Astro Orbiter,The Many Adventures of Winnie the Pooh,185
Astro Orbiter,Tomorrowland Speedway,75
Astro Orbiter,Tomorrowland Transit Authority PeopleMover,7
Astro Orbiter,Under the Sea - Journey of The Little Mermaid,292
Astro Orbiter,Walt Disney's Carousel of Progress,29
Astro Orbiter,Walt Disney's Enchanted Tiki Room,377
Astro Orbiter,it's a small world,334
Big Thunder Mountain Railroad,Buzz Lightyear's Space Ranger Spin,465
Big Thunder Mountain Railroad,Country Bear Jamboree,107
Big Thunder Mountain Railroad,Dumbo the Flying Elephant,535
Big Thunder Mountain Railroad,Haunted Mansion,264
Big Thunder Mountain Railroad,Jungle Cruise,204
Big Thunder Mountain Railroad,Liberty Square Riverboat,194
Big Thunder Mountain Railroad,Mad Tea Party,434
Big Thunder Mountain Railroad,Mickey's PhilharMagic,355
Big Thunder Mountain Railroad,"Monsters, Inc. Laugh Floor",428
Big Thunder Mountain Railroad,Peter Pan's Flight,307
Big Thunder Mountain Railroad,Pirates of the Caribbean,153
Big Thunder Mountain Railroad,Prince Charming Regal Carrousel,351
Big Thunder Mountain Railroad,Seven Dwarfs Mine Train,415
Big Thunder Mountain Railroad,Space Mountain,937
Big Thunder Mountain Railroad,Splash Mountain,40
Big Thunder Mountain Railroad,The Barnstormer,575
Big Thunder Mountain Railroad,The Hall of Presidents,218
Big Thunder Mountain Railroad,The Magic Carpets of Aladdin,170
Big Thunder Mountain Railroad,The Many Adventures of Winnie the Pooh,423
Big Thunder Mountain Railroad,Tomorrowland Speedway,476
Big Thunder Mountain Railroad,Tomorrowland Transit Authority PeopleMover,488
Big Thunder Mountain Railroad,Under the Sea - Journey of The Little Mermaid,535
Big Thunder Mountain Railroad,Walt Disney's Carousel of Progress,497
Big Thunder Mountain Railroad,Walt Disney's Enchanted Tiki Room,188
Big Thunder Mountain Railroad,it's a small world,300
Buzz Lightyear's Space Ranger Spin,Country Bear Jamboree,349
Buzz Lightyear's Space Ranger Spin,Dumbo the Flying Elephant,230
Buzz Lightyear's Space Ranger Spin,Haunted Mansion,333
Buzz Lightyear's Space Ranger Spin,Jungle Cruise,344
Buzz Lightyear's Space Ranger Spin,Liberty Square Riverboat,276
Buzz Lightyear's Space Ranger Spin,Mad Tea Party,153
Buzz Lightyear's Space Ranger Spin,Mickey's PhilharMagic,251
Buzz Lightyear's Space Ranger Spin,"Monsters, Inc. Laugh Floor",36
Buzz Lightyear's Space Ranger Spin,Peter Pan's Flight,298
Buzz Lightyear's Space Ranger Spin,Pirates of the Caribbean,388
Buzz Lightyear's Space Ranger Spin,Prince Charming Regal Carrousel,247
Buzz Lightyear's Space Ranger Spin,Seven Dwarfs Mine Train,250
Buzz Lightyear's Space Ranger Spin,Space Mountain,715
Buzz Lightyear's Space Ranger Spin,Splash Mountain,456
Buzz Lightyear's Space Ranger Spin,The Barnstormer,270
Buzz Lightyear's Space Ranger Spin,The Hall of Presidents,248
Buzz Lightyear's Space Ranger Spin,The Magic Carpets of Aladdin,307
Buzz Lightyear's Space Ranger Spin,The Many Adventures of Winnie the Pooh,204
Buzz Lightyear's Space Ranger Spin,Tomorrowland Speedway,93
Buzz Lightyear's Space Ranger Spin,Tomorrowland Transit Authority PeopleMover,18
Buzz Lightyear's Space Ranger Spin,Under the Sea - Journey of The Little Mermaid,310
Buzz Lightyear's Space Ranger Spin,Walt Disney's Carousel of Progress,26
Buzz Lightyear's Space Ranger Spin,Walt Disney's Enchanted Tiki Room,353
Buzz Lightyear's Space Ranger Spin,it's a small world,310
Country Bear Jamboree,Dumbo the Flying Elephant,431
Country Bear Jamboree,Haunted Mansion,170
Country Bear Jamboree,Jungle Cruise,93
Country Bear Jamboree,Liberty Square Riverboat,100
Country Bear Jamboree,Mad Tea Party,330
Country Bear Jamboree,Mickey's PhilharMagic,250
Country Bear Jamboree,"Monsters, Inc. Laugh Floor",324
Country Bear Jamboree,Peter Pan's Flight,213
Country Bear Jamboree,Pirates of the Caribbean,120
Country Bear Jamboree,Prince Charming Regal Carrousel,247
Country Bear Jamboree,Seven Dwarfs Mine Train,311
Country Bear Jamboree,Space Mountain,826
Country Bear Jamboree,Splash Mountain,108
Country Bear Jamboree,The Barnstormer,471
Country Bear Jamboree,The Hall of Presidents,114
Country Bear Jamboree,The Magic Carpets of Aladdin,59
Country Bear Jamboree,The Many Adventures of Winnie the Pooh,319
Country Bear Jamboree,Tomorrowland Speedway,372
Country Bear Jamboree,Tomorrowland Transit Authority PeopleMover,384
Country Bear Jamboree,Under the Sea - Journey of The Little Mermaid,431
Country Bear Jamboree,Walt Disney's Carousel of Progress,392
Country Bear Jamboree,Walt Disney's Enchanted Tiki Room,85
Country Bear Jamboree,it's a small world,206
Dumbo the Flying Elephant,Haunted Mansion,328
Dumbo the Flying Elephant,Jungle Cruise,449
Dumbo the Flying Elephant,Liberty Square Riverboat,347
Dumbo the Flying Elephant,Mad Tea Party,72
Dumbo the Flying Elephant,Mickey's PhilharMagic,212
Dumbo the Flying Elephant,"Monsters, Inc. Laugh Floor",241
Dumbo the Flying Elephant,Peter Pan's Flight,249
Dumbo the Flying Elephant,Pirates of the Caribbean,493
Dumbo the Flying Elephant,Prince Charming Regal Carrousel,184
Dumbo the Flying Elephant,Seven Dwarfs Mine Train,160
Dumbo the Flying Elephant,Space Mountain,837
Dumbo the Flying Elephant,Splash Mountain,527
Dumbo the Flying Elephant,The Barnstormer,53
Dumbo the Flying Elephant,The Hall of Presidents,302
Dumbo the Flying Elephant,The Magic Carpets of Aladdin,411
Dumbo the Flying Elephant,The Many Adventures of Winnie the Pooh,114
Dumbo the Flying Elephant,Tomorrowland Speedway,130
